GEOID,tract_geoid,NAME,state,county,tract,total_population,median_age,median_household_income,male_population,female_population,male_share,female_share,youth_population,senior_population,youth_population_share,senior_population_share,poverty_status_population,poverty_count,poverty_rate,civilian_labor_force,unemployed_count,unemployment_rate,race_ethnicity_total,white_non_hispanic,black_non_hispanic,american_indian_alaska_native_non_hispanic,asian_non_hispanic,native_hawaiian_pacific_islander_non_hispanic,other_race_non_hispanic,two_or_more_races_non_hispanic,hispanic_or_latino,white_non_hispanic_share,black_non_hispanic_share,american_indian_alaska_native_non_hispanic_share,asian_non_hispanic_share,native_hawaiian_pacific_islander_non_hispanic_share,other_race_non_hispanic_share,two_or_more_races_non_hispanic_share,hispanic_or_latino_share,total_housing_units,occupied_housing_units,vacant_housing_units,housing_vacancy_rate,occupied_units_tenure_total,owner_occupied_units,renter_occupied_units,owner_occupancy_share,renter_occupancy_share,education_population_25_plus,high_school_or_higher_count,bachelors_or_higher_count,high_school_or_higher_rate,bachelors_or_higher_rate,average_household_size
37063002023,37063002023,Census Tract 20.23; Durham County; North Carolina,37,63,2023,2656.0,39.4,108026.0,1218.0,1438.0,45.86,54.14,430.0,411.0,16.19,15.47,2586.0,161.0,6.23,1748.0,16.0,0.92,2656.0,1653.0,484.0,6.0,245.0,0.0,7.0,58.0,203.0,62.24,18.22,0.23,9.22,0.0,0.26,2.18,7.64,1331.0,1312.0,19.0,1.43,1312.0,595.0,717.0,45.35,54.65,2082.0,2070.0,1686.0,99.42,80.98,1.94
37063002024,37063002024,Census Tract 20.24; Durham County; North Carolina,37,63,2024,6153.0,37.8,114115.0,2910.0,3243.0,47.29,52.71,1046.0,770.0,17.0,12.51,6153.0,189.0,3.07,4058.0,174.0,4.29,6153.0,4115.0,988.0,11.0,310.0,0.0,14.0,436.0,279.0,66.88,16.06,0.18,5.04,0.0,0.23,7.09,4.53,2979.0,2853.0,126.0,4.23,2853.0,2261.0,592.0,79.25,20.75,4733.0,4708.0,3761.0,99.47,79.46,2.16
37063002025,37063002025,Census Tract 20.25; Durham County; North Carolina,37,63,2025,7063.0,34.6,96504.0,3306.0,3757.0,46.81,53.19,1790.0,755.0,25.34,10.69,6977.0,773.0,11.08,4254.0,240.0,5.64,7063.0,2242.0,2868.0,0.0,726.0,0.0,0.0,423.0,804.0,31.74,40.61,0.0,10.28,0.0,0.0,5.99,11.38,2907.0,2889.0,18.0,0.62,2889.0,1923.0,966.0,66.56,33.44,5023.0,4764.0,3179.0,94.84,63.29,2.44
37063002026,37063002026,Census Tract 20.26; Durham County; North Carolina,37,63,2026,9094.0,30.8,63268.0,4223.0,4871.0,46.44,53.56,2396.0,561.0,26.35,6.17,8856.0,1887.0,21.31,4884.0,220.0,4.5,9094.0,1651.0,4703.0,9.0,136.0,0.0,0.0,305.0,2290.0,18.15,51.72,0.1,1.5,0.0,0.0,3.35,25.18,3660.0,3389.0,271.0,7.4,3389.0,1340.0,2049.0,39.54,60.46,5953.0,5359.0,2513.0,90.02,42.21,2.68
37063002029,37063002029,Census Tract 20.29; Durham County; North Carolina,37,63,2029,4042.0,37.6,88462.0,1961.0,2081.0,48.52,51.48,661.0,790.0,16.35,19.54,4042.0,159.0,3.93,2090.0,44.0,2.11,4042.0,2154.0,705.0,0.0,445.0,0.0,39.0,231.0,468.0,53.29,17.44,0.0,11.01,0.0,0.96,5.71,11.58,2197.0,1974.0,223.0,10.15,1974.0,654.0,1320.0,33.13,66.87,3042.0,3006.0,2299.0,98.82,75.58,2.04
37063002030,37063002030,Census Tract 20.30; Durham County; North Carolina,37,63,2030,4565.0,46.0,168606.0,2305.0,2260.0,50.49,49.51,966.0,1047.0,21.16,22.94,4565.0,183.0,4.01,2352.0,47.0,2.0,4565.0,3032.0,372.0,28.0,519.0,0.0,20.0,364.0,230.0,66.42,8.15,0.61,11.37,0.0,0.44,7.97,5.04,1923.0,1801.0,122.0,6.34,1801.0,1568.0,233.0,87.06,12.94,3415.0,3401.0,2703.0,99.59,79.15,2.53
37063002031,37063002031,Census Tract 20.31; Durham County; North Carolina,37,63,2031,2794.0,28.5,64797.0,1331.0,1463.0,47.64,52.36,788.0,203.0,28.2,7.27,2757.0,546.0,19.8,1643.0,97.0,5.9,2794.0,501.0,910.0,85.0,62.0,0.0,0.0,118.0,1118.0,17.93,32.57,3.04,2.22,0.0,0.0,4.22,40.01,1150.0,1080.0,70.0,6.09,1080.0,200.0,880.0,18.52,81.48,1502.0,1384.0,562.0,92.14,37.42,2.59
37063002032,37063002032,Census Tract 20.32; Durham County; North Carolina,37,63,2032,2595.0,28.3,52097.0,1303.0,1292.0,50.21,49.79,641.0,17.0,24.7,0.66,2578.0,546.0,21.18,1726.0,30.0,1.74,2595.0,580.0,738.0,0.0,119.0,0.0,0.0,163.0,995.0,22.35,28.44,0.0,4.59,0.0,0.0,6.28,38.34,1499.0,1275.0,224.0,14.94,1275.0,0.0,1275.0,0.0,100.0,1602.0,1421.0,639.0,88.7,39.89,2.02
37063002033,37063002033,Census Tract 20.33; Durham County; North Carolina,37,63,2033,4397.0,41.6,135660.0,2130.0,2267.0,48.44,51.56,742.0,1207.0,16.88,27.45,4367.0,135.0,3.09,2223.0,63.0,2.83,4397.0,3445.0,316.0,0.0,234.0,0.0,93.0,226.0,83.0,78.35,7.19,0.0,5.32,0.0,2.12,5.14,1.89,2371.0,2134.0,237.0,10.0,2134.0,1280.0,854.0,59.98,40.02,3460.0,3438.0,2924.0,99.36,84.51,2.04
37063002034,37063002034,Census Tract 20.34; Durham County; North Carolina,37,63,2034,6422.0,33.2,80816.0,2992.0,3430.0,46.59,53.41,1345.0,1031.0,20.94,16.05,6422.0,409.0,6.37,4157.0,201.0,4.84,6422.0,3335.0,1743.0,0.0,435.0,0.0,0.0,199.0,710.0,51.93,27.14,0.0,6.77,0.0,0.0,3.1,11.06,3318.0,3126.0,192.0,5.79,3126.0,1318.0,1808.0,42.16,57.84,4386.0,4244.0,3309.0,96.76,75.44,2.05
37063002035,37063002035,Census Tract 20.35; Durham County; North Carolina,37,63,2035,6622.0,32.0,83203.0,3047.0,3575.0,46.01,53.99,932.0,883.0,14.07,13.33,6526.0,403.0,6.18,4544.0,104.0,2.29,6622.0,2198.0,2560.0,0.0,503.0,0.0,87.0,346.0,928.0,33.19,38.66,0.0,7.6,0.0,1.31,5.23,14.01,3637.0,3408.0,229.0,6.3,3408.0,1752.0,1656.0,51.41,48.59,4754.0,4536.0,3093.0,95.41,65.06,1.94
37063002036,37063002036,Census Tract 20.36; Durham County; North Carolina,37,63,2036,3621.0,30.2,53586.0,1772.0,1849.0,48.94,51.06,796.0,394.0,21.98,10.88,3621.0,439.0,12.12,2348.0,43.0,1.83,3621.0,821.0,1785.0,0.0,110.0,0.0,65.0,688.0,152.0,22.67,49.3,0.0,3.04,0.0,1.8,19.0,4.2,2353.0,2057.0,296.0,12.58,2057.0,188.0,1869.0,9.14,90.86,2504.0,2458.0,1621.0,98.16,64.74,1.76
37063002037,37063002037,Census Tract 20.37; Durham County; North Carolina,37,63,2037,7417.0,31.5,83360.0,2922.0,4495.0,39.4,60.6,1098.0,234.0,14.8,3.15,7382.0,74.0,1.0,5706.0,124.0,2.17,7417.0,2812.0,2531.0,0.0,1598.0,0.0,0.0,89.0,387.0,37.91,34.12,0.0,21.55,0.0,0.0,1.2,5.22,4542.0,3967.0,575.0,12.66,3967.0,784.0,3183.0,19.76,80.24,5533.0,5371.0,3988.0,97.07,72.08,1.87
37063002038,37063002038,Census Tract 20.38; Durham County; North Carolina,37,63,2038,6902.0,34.5,98821.0,3146.0,3756.0,45.58,54.42,842.0,1231.0,12.2,17.84,6871.0,567.0,8.25,4740.0,85.0,1.79,6902.0,3295.0,2450.0,41.0,381.0,0.0,24.0,363.0,348.0,47.74,35.5,0.59,5.52,0.0,0.35,5.26,5.04,3647.0,3545.0,102.0,2.8,3545.0,2085.0,1460.0,58.82,41.18,5825.0,5407.0,3931.0,92.82,67.48,1.95
37063002100,37063002100,Census Tract 21; Durham County; North Carolina,37,63,2100,8652.0,49.2,114058.0,5115.0,3537.0,59.12,40.88,1234.0,2091.0,14.26,24.17,6569.0,430.0,6.55,2941.0,64.0,2.18,8652.0,5631.0,1890.0,44.0,58.0,0.0,0.0,277.0,752.0,65.08,21.84,0.51,0.67,0.0,0.0,3.2,8.69,2916.0,2852.0,64.0,2.19,2852.0,2697.0,155.0,94.57,5.43,6998.0,6098.0,2799.0,87.14,40.0,2.3
37063002200,37063002200,Census Tract 22; Durham County; North Carolina,37,63,2200,3037.0,35.7,116146.0,1701.0,1336.0,56.01,43.99,218.0,325.0,7.18,10.7,3037.0,408.0,13.43,2289.0,35.0,1.53,3037.0,1930.0,462.0,0.0,136.0,0.0,22.0,238.0,249.0,63.55,15.21,0.0,4.48,0.0,0.72,7.84,8.2,2301.0,1977.0,324.0,14.08,1977.0,531.0,1446.0,26.86,73.14,2496.0,2412.0,2049.0,96.63,82.09,1.46
37063002300,37063002300,Census Tract 23; Durham County; North Carolina,37,63,2300,2725.0,32.2,61225.0,1523.0,1202.0,55.89,44.11,335.0,211.0,12.29,7.74,2382.0,537.0,22.54,1569.0,68.0,4.33,2725.0,1082.0,1245.0,7.0,142.0,0.0,5.0,101.0,143.0,39.71,45.69,0.26,5.21,0.0,0.18,3.71,5.25,1625.0,1524.0,101.0,6.22,1524.0,196.0,1328.0,12.86,87.14,2110.0,1834.0,1166.0,86.92,55.26,1.57
37063000200,37063000200,Census Tract 2; Durham County; North Carolina,37,63,200,3347.0,38.2,75750.0,1761.0,1586.0,52.61,47.39,585.0,253.0,17.48,7.56,3342.0,795.0,23.79,1997.0,100.0,5.01,3347.0,1526.0,747.0,14.0,115.0,0.0,13.0,247.0,685.0,45.59,22.32,0.42,3.44,0.0,0.39,7.38,20.47,1360.0,1250.0,110.0,8.09,1250.0,540.0,710.0,43.2,56.8,2541.0,2284.0,1229.0,89.89,48.37,2.42
37063000301,37063000301,Census Tract 3.01; Durham County; North Carolina,37,63,301,2779.0,34.0,60097.0,1525.0,1254.0,54.88,45.12,307.0,432.0,11.05,15.55,2772.0,250.0,9.02,1924.0,26.0,1.35,2779.0,1514.0,678.0,0.0,25.0,0.0,0.0,268.0,294.0,54.48,24.4,0.0,0.9,0.0,0.0,9.64,10.58,1659.0,1588.0,71.0,4.28,1588.0,445.0,1143.0,28.02,71.98,2335.0,2238.0,1394.0,95.85,59.7,1.74
37063000302,37063000302,Census Tract 3.02; Durham County; North Carolina,37,63,302,3670.0,36.0,90333.0,1981.0,1689.0,53.98,46.02,778.0,332.0,21.2,9.05,3659.0,422.0,11.53,2357.0,32.0,1.36,3670.0,2474.0,334.0,0.0,66.0,0.0,0.0,289.0,507.0,67.41,9.1,0.0,1.8,0.0,0.0,7.87,13.81,1807.0,1694.0,113.0,6.25,1694.0,866.0,828.0,51.12,48.88,2634.0,2545.0,1966.0,96.62,74.64,2.16
37063000401,37063000401,Census Tract 4.01; Durham County; North Carolina,37,63,401,2558.0,38.6,117213.0,1189.0,1369.0,46.48,53.52,610.0,461.0,23.85,18.02,2558.0,182.0,7.11,1264.0,8.0,0.63,2558.0,2121.0,84.0,0.0,56.0,0.0,34.0,83.0,180.0,82.92,3.28,0.0,2.19,0.0,1.33,3.24,7.04,1250.0,1140.0,110.0,8.8,1140.0,898.0,242.0,78.77,21.23,1879.0,1810.0,1601.0,96.33,85.2,2.24
37063000402,37063000402,Census Tract 4.02; Durham County; North Carolina,37,63,402,2663.0,30.4,49397.0,1224.0,1439.0,45.96,54.04,199.0,192.0,7.47,7.21,2663.0,556.0,20.88,1697.0,66.0,3.89,2663.0,1561.0,30.0,13.0,561.0,0.0,44.0,171.0,283.0,58.62,1.13,0.49,21.07,0.0,1.65,6.42,10.63,1950.0,1666.0,284.0,14.56,1666.0,347.0,1319.0,20.83,79.17,2086.0,2061.0,1868.0,98.8,89.55,1.6
37063000500,37063000500,Census Tract 5; Durham County; North Carolina,37,63,500,3948.0,27.3,55109.0,1898.0,2050.0,48.07,51.93,654.0,378.0,16.57,9.57,3229.0,647.0,20.04,1976.0,61.0,3.09,3948.0,1656.0,1431.0,53.0,239.0,41.0,6.0,131.0,391.0,41.95,36.25,1.34,6.05,1.04,0.15,3.32,9.9,1807.0,1362.0,445.0,24.63,1362.0,416.0,946.0,30.54,69.46,2143.0,1947.0,1129.0,90.85,52.68,2.36
37063000600,37063000600,Census Tract 6; Durham County; North Carolina,37,63,600,5056.0,42.3,78237.0,2005.0,3051.0,39.66,60.34,818.0,572.0,16.18,11.31,5056.0,885.0,17.5,3149.0,92.0,2.92,5056.0,2889.0,741.0,0.0,268.0,0.0,0.0,296.0,862.0,57.14,14.66,0.0,5.3,0.0,0.0,5.85,17.05,2671.0,2491.0,180.0,6.74,2491.0,1514.0,977.0,60.78,39.22,3991.0,3714.0,2471.0,93.06,61.91,1.94
37063000700,37063000700,Census Tract 7; Durham County; North Carolina,37,63,700,4059.0,34.7,85368.0,1722.0,2337.0,42.42,57.58,718.0,613.0,17.69,15.1,4045.0,377.0,9.32,2211.0,119.0,5.38,4059.0,2622.0,737.0,0.0,168.0,0.0,20.0,244.0,268.0,64.6,18.16,0.0,4.14,0.0,0.49,6.01,6.6,2327.0,2163.0,164.0,7.05,2163.0,808.0,1355.0,37.36,62.64,2891.0,2754.0,2169.0,95.26,75.03,1.87
37063980100,37063980100,Census Tract 9801; Durham County; North Carolina,37,63,980100,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,
37063000900,37063000900,Census Tract 9; Durham County; North Carolina,37,63,900,1885.0,36.3,70326.0,930.0,955.0,49.34,50.66,344.0,192.0,18.25,10.19,1885.0,253.0,13.42,1268.0,8.0,0.63,1885.0,466.0,597.0,0.0,17.0,0.0,20.0,71.0,714.0,24.72,31.67,0.0,0.9,0.0,1.06,3.77,37.88,949.0,816.0,133.0,14.01,816.0,409.0,407.0,50.12,49.88,1407.0,976.0,568.0,69.37,40.37,2.3
