GEOID,tract_geoid,NAME,state,county,tract,total_population,median_age,median_household_income,male_population,female_population,male_share,female_share,youth_population,senior_population,youth_population_share,senior_population_share,poverty_status_population,poverty_count,poverty_rate,civilian_labor_force,unemployed_count,unemployment_rate,race_ethnicity_total,white_non_hispanic,black_non_hispanic,american_indian_alaska_native_non_hispanic,asian_non_hispanic,native_hawaiian_pacific_islander_non_hispanic,other_race_non_hispanic,two_or_more_races_non_hispanic,hispanic_or_latino,white_non_hispanic_share,black_non_hispanic_share,american_indian_alaska_native_non_hispanic_share,asian_non_hispanic_share,native_hawaiian_pacific_islander_non_hispanic_share,other_race_non_hispanic_share,two_or_more_races_non_hispanic_share,hispanic_or_latino_share,total_housing_units,occupied_housing_units,vacant_housing_units,housing_vacancy_rate,occupied_units_tenure_total,owner_occupied_units,renter_occupied_units,owner_occupancy_share,renter_occupancy_share,education_population_25_plus,high_school_or_higher_count,bachelors_or_higher_count,high_school_or_higher_rate,bachelors_or_higher_rate,average_household_size
37063001504,37063001504,Census Tract 15.04; Durham County; North Carolina,37,63,1504,2645.0,26.0,32725.0,1317.0,1328.0,49.79,50.21,462.0,165.0,17.47,6.24,2547.0,1224.0,48.06,1184.0,51.0,4.31,2645.0,551.0,1081.0,58.0,647.0,0.0,18.0,90.0,200.0,20.83,40.87,2.19,24.46,0.0,0.68,3.4,7.56,1613.0,1418.0,195.0,12.09,1418.0,0.0,1418.0,0.0,100.0,1414.0,1208.0,725.0,85.43,51.27,1.8
37063001505,37063001505,Census Tract 15.05; Durham County; North Carolina,37,63,1505,4132.0,25.5,31875.0,2017.0,2115.0,48.81,51.19,779.0,318.0,18.85,7.7,3947.0,1447.0,36.66,2131.0,70.0,3.28,4132.0,899.0,1043.0,0.0,766.0,0.0,0.0,176.0,1248.0,21.76,25.24,0.0,18.54,0.0,0.0,4.26,30.2,2518.0,2139.0,379.0,15.05,2139.0,62.0,2077.0,2.9,97.1,2165.0,1738.0,1187.0,80.28,54.83,1.84
37063001601,37063001601,Census Tract 16.01; Durham County; North Carolina,37,63,1601,5383.0,47.6,86635.0,2415.0,2968.0,44.86,55.14,1028.0,1204.0,19.1,22.37,5274.0,251.0,4.76,2919.0,59.0,2.02,5383.0,2812.0,1555.0,12.0,327.0,0.0,0.0,168.0,509.0,52.24,28.89,0.22,6.07,0.0,0.0,3.12,9.46,2177.0,2141.0,36.0,1.65,2141.0,1900.0,241.0,88.74,11.26,4082.0,3969.0,1754.0,97.23,42.97,2.43
37063001603,37063001603,Census Tract 16.03; Durham County; North Carolina,37,63,1603,7420.0,39.9,87717.0,3606.0,3814.0,48.6,51.4,1941.0,1300.0,26.16,17.52,7420.0,619.0,8.34,3931.0,108.0,2.75,7420.0,4785.0,1378.0,27.0,227.0,1.0,18.0,577.0,407.0,64.49,18.57,0.36,3.06,0.01,0.24,7.78,5.49,3131.0,3006.0,125.0,3.99,3006.0,2647.0,359.0,88.06,11.94,5191.0,4870.0,2602.0,93.82,50.13,2.47
37063001604,37063001604,Census Tract 16.04; Durham County; North Carolina,37,63,1604,7048.0,48.3,88421.0,3573.0,3475.0,50.7,49.3,1215.0,1949.0,17.24,27.65,7048.0,674.0,9.56,2950.0,111.0,3.76,7048.0,4382.0,1537.0,0.0,78.0,0.0,92.0,339.0,620.0,62.17,21.81,0.0,1.11,0.0,1.31,4.81,8.8,2959.0,2874.0,85.0,2.87,2874.0,2719.0,155.0,94.61,5.39,5285.0,4792.0,2685.0,90.67,50.8,2.45
37063001705,37063001705,Census Tract 17.05; Durham County; North Carolina,37,63,1705,5417.0,45.2,68052.0,2529.0,2888.0,46.69,53.31,1027.0,1245.0,18.96,22.98,5395.0,960.0,17.79,2992.0,254.0,8.49,5417.0,2536.0,1279.0,0.0,191.0,0.0,0.0,484.0,927.0,46.82,23.61,0.0,3.53,0.0,0.0,8.93,17.11,2641.0,2447.0,194.0,7.35,2447.0,1459.0,988.0,59.62,40.38,3947.0,3604.0,1783.0,91.31,45.17,2.2
37063001706,37063001706,Census Tract 17.06; Durham County; North Carolina,37,63,1706,5248.0,35.9,78197.0,2882.0,2366.0,54.92,45.08,949.0,533.0,18.08,10.16,5248.0,469.0,8.94,3431.0,130.0,3.79,5248.0,2782.0,1218.0,0.0,410.0,0.0,0.0,250.0,588.0,53.01,23.21,0.0,7.81,0.0,0.0,4.76,11.2,3015.0,2818.0,197.0,6.53,2818.0,1315.0,1503.0,46.66,53.34,4083.0,3796.0,2767.0,92.97,67.77,1.86
37063001708,37063001708,Census Tract 17.08; Durham County; North Carolina,37,63,1708,4723.0,45.0,78750.0,2097.0,2626.0,44.4,55.6,823.0,1012.0,17.43,21.43,4723.0,485.0,10.27,2231.0,373.0,16.72,4723.0,404.0,3292.0,0.0,226.0,0.0,34.0,146.0,621.0,8.55,69.7,0.0,4.79,0.0,0.72,3.09,13.15,2086.0,2024.0,62.0,2.97,2024.0,1224.0,800.0,60.47,39.53,3308.0,2946.0,838.0,89.06,25.33,2.32
37063001709,37063001709,Census Tract 17.09; Durham County; North Carolina,37,63,1709,8612.0,36.3,56734.0,4236.0,4376.0,49.19,50.81,2335.0,1010.0,27.11,11.73,8227.0,962.0,11.69,4425.0,216.0,4.88,8612.0,600.0,3945.0,0.0,371.0,0.0,0.0,648.0,3048.0,6.97,45.81,0.0,4.31,0.0,0.0,7.52,35.39,3265.0,2947.0,318.0,9.74,2947.0,917.0,2030.0,31.12,68.88,5346.0,4382.0,1416.0,81.97,26.49,2.81
37063001710,37063001710,Census Tract 17.10; Durham County; North Carolina,37,63,1710,4583.0,32.8,79963.0,2254.0,2329.0,49.18,50.82,1208.0,527.0,26.36,11.5,4525.0,369.0,8.15,2389.0,111.0,4.65,4583.0,1071.0,2012.0,0.0,367.0,0.0,0.0,308.0,825.0,23.37,43.9,0.0,8.01,0.0,0.0,6.72,18.0,1993.0,1894.0,99.0,4.97,1894.0,1137.0,757.0,60.03,39.97,2918.0,2810.0,1206.0,96.3,41.33,2.41
