tract_geoid,tract_name,tract_area_sq_m,tract_area_sq_mi,GEOID,NAME,state,county,tract,total_population,median_age,median_household_income,male_population,female_population,male_share,female_share,youth_population,senior_population,youth_population_share,senior_population_share,poverty_status_population,poverty_count,poverty_rate,civilian_labor_force,unemployed_count,unemployment_rate,race_ethnicity_total,white_non_hispanic,black_non_hispanic,american_indian_alaska_native_non_hispanic,asian_non_hispanic,native_hawaiian_pacific_islander_non_hispanic,other_race_non_hispanic,two_or_more_races_non_hispanic,hispanic_or_latino,white_non_hispanic_share,black_non_hispanic_share,american_indian_alaska_native_non_hispanic_share,asian_non_hispanic_share,native_hawaiian_pacific_islander_non_hispanic_share,other_race_non_hispanic_share,two_or_more_races_non_hispanic_share,hispanic_or_latino_share,total_housing_units,occupied_housing_units,vacant_housing_units,housing_vacancy_rate,occupied_units_tenure_total,owner_occupied_units,renter_occupied_units,owner_occupancy_share,renter_occupancy_share,education_population_25_plus,high_school_or_higher_count,bachelors_or_higher_count,high_school_or_higher_rate,bachelors_or_higher_rate,average_household_size,total_arrests,arrest_weekend_events,arrest_evening_night_events,arrest_night_events,arrest_recent_activity_trend,arrest_activity_share,arrest_weekend_share,arrest_evening_night_share,arrest_night_share,felony_arrests,misdemeanor_arrests,felony_share,misdemeanor_share,most_common_offense,most_common_arrest_type,arrests_per_1000_population,arrests_density_per_sq_mi,population_density,primary_neighborhood,secondary_neighborhoods,neighborhood_overlap_count,local_moran_i,local_moran_p_sim,local_moran_z_sim,local_moran_quadrant,lisa_significant_05,lisa_significant_10,lisa_cluster
37063002015,Census Tract 20.15,40782544.08781382,15.746228303157377,37063002015,Census Tract 20.15; Durham County; North Carolina,37,63,2015,4961.0,34.3,70158.0,2455.0,2506.0,49.49,50.51,1167.0,731.0,23.52,14.73,4934.0,669.0,13.56,2581.0,39.0,1.51,4961.0,2146.0,648.0,0.0,391.0,0.0,0.0,198.0,1578.0,43.26,13.06,0.0,7.88,0.0,0.0,3.99,31.81,2569.0,2363.0,206.0,8.02,2363.0,520.0,1843.0,22.01,77.99,3195.0,2865.0,1775.0,89.67,55.56,2.08,2210,437,865,466,Stable,3.35,19.77,39.14,21.09,501,1567,22.67,70.9,LARCENY (MISDEMEANOR),Warrant/OFA,445.47,140.35,315.06,Dixon Road Area,"Valley Run, Chapel Hill Road, Duke Forest, Preston Woods, Parc at University, Rockwood, Hope Valley, Cameron Woods, Hope Valley North, Tuscaloosa-Lakewood",11,-0.07049522765319739,0.261,-0.5875581912892487,4,False,False,Not significant
37063000301,Census Tract 3.01,17073998.593381945,6.592307711855453,37063000301,Census Tract 3.01; Durham County; North Carolina,37,63,301,2779.0,34.0,60097.0,1525.0,1254.0,54.88,45.12,307.0,432.0,11.05,15.55,2772.0,250.0,9.02,1924.0,26.0,1.35,2779.0,1514.0,678.0,0.0,25.0,0.0,0.0,268.0,294.0,54.48,24.4,0.0,0.9,0.0,0.0,9.64,10.58,1659.0,1588.0,71.0,4.28,1588.0,445.0,1143.0,28.02,71.98,2335.0,2238.0,1394.0,95.85,59.7,1.74,766,238,403,274,Increasing,1.16,31.07,52.61,35.77,186,564,24.28,73.63,LARCENY (MISDEMEANOR),On-View,275.64,116.2,421.55,Walltown,"Northgate Park, Trinity Heights, Trinity Park, Duke East Campus, Old West Durham",6,-0.001162466908248908,0.421,-0.18301557044411573,4,False,False,Not significant
37063001809,Census Tract 18.09,132166761.56531955,51.02987192793464,37063001809,Census Tract 18.09; Durham County; North Carolina,37,63,1809,7936.0,36.0,95281.0,3597.0,4339.0,45.33,54.67,1104.0,987.0,13.91,12.44,7906.0,669.0,8.46,5287.0,223.0,4.22,7936.0,3766.0,2148.0,2.0,685.0,0.0,68.0,292.0,975.0,47.45,27.07,0.03,8.63,0.0,0.86,3.68,12.29,4304.0,4085.0,219.0,5.09,4085.0,2073.0,2012.0,50.75,49.25,6230.0,5847.0,3045.0,93.85,48.88,1.94,344,108,184,119,Increasing,0.52,31.4,53.49,34.59,87,251,25.29,72.97,ASSAULT ON FEMALE,On-View,43.35,6.74,155.52,Ashley Forest,"Pleasant Drive, Taylor Estates, Bradbury Glen, Stirrup Creek, Bradbury Trace, Meadows of Pagehurst, Pagehurst",8,0.1448072448607138,0.018,0.9889584343265865,3,True,True,Low-Low
37063002019,Census Tract 20.19,226868538.48277748,87.59443241357032,37063002019,Census Tract 20.19; Durham County; North Carolina,37,63,2019,4704.0,33.2,74310.0,2101.0,2603.0,44.66,55.34,602.0,970.0,12.8,20.62,4635.0,603.0,13.01,2761.0,183.0,6.63,4704.0,3279.0,761.0,0.0,478.0,0.0,21.0,64.0,101.0,69.71,16.18,0.0,10.16,0.0,0.45,1.36,2.15,2763.0,2459.0,304.0,11.0,2459.0,1304.0,1155.0,53.03,46.97,3417.0,3417.0,2967.0,100.0,86.83,1.88,178,42,96,78,Stable,0.27,23.6,53.93,43.82,38,140,21.35,78.65,DRIVING WHILE IMPAIRED,On-View,37.84,2.03,53.7,Falconbridge,"Downing Creek, Southpoint Manor, The Landing at Southpoint, Eastwood Park",5,0.122990490553783,0.135,0.6785317146197096,3,False,False,Not significant
37063002020,Census Tract 20.20,178917219.19541514,69.0803245317617,37063002020,Census Tract 20.20; Durham County; North Carolina,37,63,2020,10050.0,43.1,193449.0,4911.0,5139.0,48.87,51.13,2566.0,1270.0,25.53,12.64,10025.0,100.0,1.0,5795.0,61.0,1.05,10050.0,5262.0,2464.0,13.0,1126.0,0.0,123.0,670.0,392.0,52.36,24.52,0.13,11.2,0.0,1.22,6.67,3.9,3784.0,3705.0,79.0,2.09,3705.0,3568.0,137.0,96.3,3.7,7199.0,7172.0,6086.0,99.62,84.54,2.71,85,31,41,31,Increasing,0.13,36.47,48.24,36.47,23,59,27.06,69.41,WARRANT SERVICE FOR OTHER JURISDICTION,On-View,8.46,1.23,145.48,Fairfield,"Chancellor's Ridge, Colvard Farms, Lakehurst, The Hills at Southpoint, Chelsea Meadows, Lake Park, Huntington Ridge, Southampton, Oakhurst, Eagle's Pointe, Oakhaven, Settler's Point, Parkwood, Buck Crossing, Wellington Forest",16,0.057830745274914615,0.494,0.2588180315143279,3,False,False,Not significant
37063001806,Census Tract 18.06,430470833.11258197,166.20571785433287,37063001806,Census Tract 18.06; Durham County; North Carolina,37,63,1806,7588.0,39.5,94464.0,3861.0,3727.0,50.88,49.12,1329.0,992.0,17.51,13.07,7588.0,554.0,7.3,4425.0,420.0,9.49,7588.0,1782.0,4173.0,0.0,32.0,0.0,0.0,316.0,1285.0,23.48,54.99,0.0,0.42,0.0,0.0,4.16,16.93,3002.0,2910.0,92.0,3.06,2910.0,2547.0,363.0,87.53,12.47,5569.0,4927.0,2202.0,88.47,39.54,2.61,165,50,84,63,Increasing,0.25,30.3,50.91,38.18,49,103,29.7,62.42,ASSAULT ON FEMALE,On-View,21.74,0.99,45.65,Cardinal Lake,"Ridgefield, Stillwood, Grove Park, Ravenstone, Gatewood Forest, Stonehill Estates, Marbry Landing",8,0.14021895132432927,0.088,0.723819903877087,3,False,True,Not significant
37063002024,Census Tract 20.24,46813281.933564894,18.074709203005487,37063002024,Census Tract 20.24; Durham County; North Carolina,37,63,2024,6153.0,37.8,114115.0,2910.0,3243.0,47.29,52.71,1046.0,770.0,17.0,12.51,6153.0,189.0,3.07,4058.0,174.0,4.29,6153.0,4115.0,988.0,11.0,310.0,0.0,14.0,436.0,279.0,66.88,16.06,0.18,5.04,0.0,0.23,7.09,4.53,2979.0,2853.0,126.0,4.23,2853.0,2261.0,592.0,79.25,20.75,4733.0,4708.0,3761.0,99.47,79.46,2.16,87,24,47,33,Increasing,0.13,27.59,54.02,37.93,16,65,18.39,74.71,WARRANT SERVICE FOR OTHER JURISDICTION,Warrant/OFA,14.14,4.81,340.42,Hope Valley Farms,"Woodcroft, Hope Valley Farms North, Fortune's Ridge, Windsor Oaks, Elm Grove, Homeplace II, Thaxton, Hope Valley, Woodwinds, Cross Timbers, Homeplace I, Swallows Ridge, Orchid Court, Woodlake, Wynstead",16,0.15813975160959248,0.057,0.7917116032235637,3,False,True,Not significant
37063980100,Census Tract 9801,227826542.96743816,87.96432001299115,37063980100,Census Tract 9801; Durham County; North Carolina,37,63,980100,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,48,13,18,12,Increasing,0.07,27.08,37.5,25.0,7,41,14.58,85.42,DRIVING WHILE IMPAIRED,On-View,0.0,0.55,0.0,Not assigned,,0,0.11758411338604312,0.24,0.5606854633799371,3,False,False,Not significant
37063001808,Census Tract 18.08,196217575.94261828,75.76002961541121,37063001808,Census Tract 18.08; Durham County; North Carolina,37,63,1808,10863.0,37.7,129430.0,5457.0,5406.0,50.23,49.77,2347.0,877.0,21.61,8.07,10842.0,408.0,3.76,6813.0,199.0,2.92,10863.0,4040.0,4607.0,52.0,888.0,0.0,14.0,430.0,832.0,37.19,42.41,0.48,8.17,0.0,0.13,3.96,7.66,4859.0,4619.0,240.0,4.94,4619.0,4284.0,335.0,92.75,7.25,7991.0,7509.0,5256.0,93.97,65.77,2.35,197,53,110,81,Decreasing,0.3,26.9,55.84,41.12,76,118,38.58,59.9,WARRANT SERVICE FOR OTHER JURISDICTION,On-View,18.13,2.6,143.39,Grove Park,"Brightleaf at the Park, Oak Grove Community, Ravenstone, Ashton Hall, Brightwood Trails, Pleasant Drive, Artisan at Brightleaf, Orchard Ridge",9,0.19612916418134435,0.003,0.9958801672769378,3,True,True,Low-Low
37063002200,Census Tract 22,16558102.933232842,6.393119283889204,37063002200,Census Tract 22; Durham County; North Carolina,37,63,2200,3037.0,35.7,116146.0,1701.0,1336.0,56.01,43.99,218.0,325.0,7.18,10.7,3037.0,408.0,13.43,2289.0,35.0,1.53,3037.0,1930.0,462.0,0.0,136.0,0.0,22.0,238.0,249.0,63.55,15.21,0.0,4.48,0.0,0.72,7.84,8.2,2301.0,1977.0,324.0,14.08,1977.0,531.0,1446.0,26.86,73.14,2496.0,2412.0,2049.0,96.63,82.09,1.46,1853,408,835,518,Decreasing,2.81,22.02,45.06,27.95,471,1283,25.42,69.24,WARRANT SERVICE FOR OTHER JURISDICTION,Warrant/OFA,610.14,289.84,475.04,Downtown,"Warehouse District, Central Park, Trinity Park, Cleveland-Holloway, Old North Durham, Old Five Points, Rigsbee Hill, Duke East Campus",9,0.6601764340460029,0.006,3.13846795885205,1,True,True,High-High
